SNO,State,City,Name,Type,WeeklyOff,Significance,visiting_time,Review,visiting_hrs,rating,fee
163,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,no,Religious,Morning,1.3,1,4.6,0
164,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,no,Nature,All,1.1,2,4.5,0
165,Himachal Pradesh,Barot,Barot Valley,Valley,no,Nature,Morning,1.2,2,4.7,0
166,Himachal Pradesh,Shoja,Serolsar Lake,Lake,no,Nature,Morning,0.9,2.5,4.4,0
167,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,no,Recreational,All,0.1,5,3.8,1500
168,Uttarakhand,Nainital,Naini Lake,Lake,no,Nature,Morning,0.01,1.5,4.2,0
169,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,no,Cultural,Morning,0.03,1,4.4,0
170,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,no,Religious,All,0.025,1,4.5,0
171,Uttarakhand,Dehradun,Robbers Cave,Cave,no,Nature,Morning,0.01,1.5,4.5,25
172,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,no,Nature,Morning,0.55,1.5,4.2,15
173,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,no,Adventure,Morning,0.01,3,4.5,0
174,Uttarakhand,Badrinath,Badrinath Temple,Temple,no,Religious,All,0.29,1,4.8,0
175,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,no,Wildlife,All,0.01,2,4.3,150
176,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,no,Recreational,All,0.025,1,4,50
177,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,no,Wildlife,All,0.3,3,4.4,100
178,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,no,Religious,All,0.05,1,4.8,0
179,Uttarakhand,Chopta,Tungnath Temple,Temple,no,Religious,All,0.09,2,4.8,0
180,Uttarakhand,Joshimath,Valley of Flowers,National Park,no,Nature,Morning,0.035,5,4.7,150
181,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,Friday,Historical,Morning,2.25,2,4.6,50
182,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,no,Religious,All,0.9,1,4.7,0
183,Uttar Pradesh,Lucknow,Bara Imambara,Monument,Monday,Historical,All,0.45,1.5,4.4,50
184,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,no,Religious,All,0.13,1,4.7,0
185,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,no,Religious,All,0.025,1,4.8,0
186,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,no,Religious,All,0.37,1,4.8,0
187,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,no,Religious,Morning,0.09,1,4.5,0
188,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,no,Historical,All,0.25,1.5,4.4,15
189,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,no,Historical,All,0.065,1,4.6,5
190,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,no,Historical,Afternoon,0.07,2,4.4,40
191,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,no,Wildlife,All,0.035,1.5,4.3,30
192,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,no,Historical,Afternoon,0.0165,1,4.1,20
193,Uttar Pradesh,Meerut,Augarnath Temple,Temple,no,Religious,All,0.045,1,4.8,0
194,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,Monday,Wildlife,All,0.21,2,4.2,150
195,Jammu and Kashmir,Srinagar,Dal Lake,Lake,no,Nature,Morning,0.15,2,4.6,0
196,Ladakh,Leh,Pangong Tso,Lake,no,Nature,Morning,0.15,2,4.9,20
197,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,no,Nature,All,0.11,2,4.6,100
198,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,no,Religious,All,0.55,5,4.7,0
199,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,no,Recreational,All,0.01,2,4.1,0
200,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,no,Religious,All,0.11,6,4.5,0
201,Ladakh,Nubra Valley,Nubra Valley,Valley,no,Nature,All,0.1,2,4.5,0
202,Ladakh,Kargil,Kargil War Memorial,War Memorial,no,Historical,All,0.011,1,4.8,0
203,Ladakh,Diskit,Diskit Monastery,Monastery,no,Religious,Morning,0.015,1,4.7,20
204,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,no,Wildlife,All,0.01,3,4.3,100
205,Ladakh,Hemis,Hemis National Park,National Park,no,Wildlife,All,0.02,4,4.4,20
206,Ladakh,Dras,Dras War Memorial,War Memorial,no,Historical,All,0.012,1,4.8,0
207,Ladakh,Leh,Magnetic Hill,Gravity Hill,no,Nature,All,0.1,0.5,3.7,0
208,Ladakh,Leh,Khardung La Pass,Hill,no,Adventure,Afternoon,0.05,1,4.5,0
209,Ladakh,Leh,Thiksey Monastery,Monastery,no,Religious,All,0.05,1.5,4.7,30
210,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,no,Religious,Evening,0.49,1.5,4.8,0
211,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,no,Historical,Morning,0.03,1,4.8,0
212,Uttar Pradesh,Mathura,Nand Gaon,Village,no,Cultural,Morning,0.01,1,4.1,0
213,Uttar Pradesh,Mathura,Barsana Mandir,Temple,no,Religious,Morning,0.1,1,4.8,0
214,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,no,Nature,All,0.025,1,4.5,0
215,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,no,Wildlife,All,0.035,3,4.4,250
216,West Bengal,Sundarbans,Sundarbans National Park,National Park,no,Wildlife,All,0.065,4,4.4,60
217,West Bengal,Digha,Digha Beach,Beach,no,Recreational,Morning,0.09,1.5,4.5,0
218,West Bengal,Murshidabad,Hazarduari Palace,Palace,Friday,Historical,Morning,0.18,1.5,4.5,10
219,West Bengal,Bolpur,Kankalitala Temple,Temple,no,Religious,All,0.045,0.5,4.7,0
220,West Bengal,Hooghly,Hangseswari Temple,Temple,no,Architectural,All,0.07,0.5,4.6,0
221,West Bengal,Jalpaiguri,Gorumara National Park,National Park,no,Wildlife,All,0.07,3,4.4,100
222,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,Friday,Historical,All,0.09,1,4.5,20
223,West Bengal,Purulia,Ayodhya Hills,Hill,no,Nature,All,0.15,2.5,4.5,0
224,Odisha,Puri,Jagannath Temple,Temple,no,Religious,All,1,2,4.7,0
225,Odisha,Konark,Sun Temple,Temple,no,Historical,All,0.83,1.5,4.7,40
226,Odisha,Bhubaneswar,Lingaraj Temple,Temple,no,Religious,All,0.35,1,4.6,0
227,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,no,Nature,All,1.2,1.5,4.5,0
228,Odisha,Cuttack,Barabati Fort,Fort,no,Historical,All,0.13,1,4.5,0
229,Odisha,Sambalpur,Hirakud Dam,Dam,no,Engineering Marvel,All,0.01,1,4.5,0
230,Odisha,Chilika,Chilika Lake,Lake,no,Nature,Morning,0.1,2,3.9,0
231,Odisha,Berhampur,Tara Tarini Temple,Temple,no,Religious,All,0.01,1,4.6,0
232,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,no,Nature,Morning,0.018,1,4.3,0
233,Odisha,Balasore,Chandipur Beach,Beach,no,Recreational,Morning,0.014,1.5,4.2,0
234,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,no,Nature,All,0.055,1,4.4,0
235,Tamil Nadu,Chennai,Marina Beach,Beach,no,Recreational,Morning,0.1,1.5,3.9,0
236,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,no,Religious,All,0.65,2,4.7,0
237,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,no,Religious,All,0.01,1.5,4.6,0
238,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,no,Historical,Morning,0.47,1,4.6,20
239,Tamil Nadu,Ooty,Ooty Lake,Lake,no,Recreational,Morning,0.61,1,4.1,10
240,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,no,Religious,All,0.3,1,4.7,0
241,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,no,Recreational,Morning,0.1,2,3.9,0
242,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,no,Religious,All,0.35,1.5,4.8,0
243,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,no,Historical,All,0.09,1,4.6,40
244,Tamil Nadu,Yercaud,Yercaud Lake,Lake,no,Recreational,Morning,0.019,1,4.2,0
245,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,no,Religious,All,0.16,1,4.6,0
246,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,no,Religious,All,0.28,1,4.7,0
247,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,no,Religious,All,0.44,1,4.7,0
248,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,no,Recreational,Morning,0.39,1.5,4.5,0
249,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,no,Religious,All,0.49,1,4.7,0
250,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,no,Nature,All,0.032,2,4.3,0
251,Andhra Pradesh,Anantapur,Lepakshi,Site,no,Historical,All,0.075,1.5,4.6,0
252,Andhra Pradesh,Kurnool,Belum Caves,Cave,no,Natural Wonder,Afternoon,0.11,1.5,4.4,65
253,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,no,Religious,All,0.041,1,4.7,0
254,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,no,Wildlife,All,0.7,1,4.4,10
255,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,no,Historical,Morning,0.015,1.5,4.5,0
256,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,no,Religious,All,0.12,1,4.7,0
257,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,no,Religious,All,0.59,1,4.7,0
258,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,no,Recreational,All,0.019,2,4.5,0
259,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,no,Historical,All,0.49,1,4.6,40
260,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,no,Natural Wonder,Afternoon,0.31,2,4.5,60
261,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,no,Historical,All,0.059,1,4.6,0
262,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,Monday,Wildlife,Afternoon,0.25,2,4.1,20
263,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,no,Recreational,All,0.03,1,3.8,20
264,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,no,Cultural,All,0.065,1,4.3,10
265,Sikkim,Gangtok,Nathula Pass,Hill,no,Historical,Afternoon,0.15,2,4.3,20
266,Sikkim,Pelling,Pemayangtse Monastery,Monastery,no,Religious,Morning,0.015,1,4.6,20
267,Sikkim,Namchi,Char Dham,Religious Complex,no,Religious,All,0.12,2,4.7,50
268,Sikkim,Gangtok,Rumtek Monastery,Monastery,no,Religious,Morning,0.035,1,4.6,10
269,Sikkim,Ravangla,Buddha Park,Park,no,Cultural,All,0.1,1,4.8,50
270,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,no,Religious,All,0.075,1,4.7,0
271,Sikkim,Gangtok,Tsomgo Lake,Lake,no,Nature,Morning,0.15,2,4.5,0
272,Assam,Guwahati,Kamakhya Temple,Temple,no,Religious,All,0.21,2,4.6,0
273,Assam,Kaziranga,Kaziranga National Park,National Park,no,Wildlife,Morning,0.068,3,4.5,650
274,Assam,Guwahati,Umananda Island,Island,no,Nature,Morning,0.01,1,4.1,0
275,Assam,Sivasagar,Sivasagar Sivadol,Temple,no,Historical,All,0.065,1,4.7,0
276,Assam,Majuli,Majuli Island,River Island,no,Cultural,Morning,0.01,2,4.7,0
277,Assam,Manas,Manas National Park,National Park,no,Wildlife,Morning,0.19,3,4.6,500
278,Assam,Hajo,Hayagriva Madhava Temple,Temple,no,Religious,All,0.9,1,4.5,0
279,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,no,Wildlife,All,0.037,2,4.4,500
280,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,no,Religious,Morning,0.032,2,4.7,0
281,Tripura,Agartala,Ujjayanta Palace,Palace,Monday,Historical,All,0.035,1.5,4.5,10
282,Tripura,Dumboor,Dumboor Lake,Lake,no,Nature,Morning,0.01,1,4.5,0
283,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,no,Historical,Morning,0.025,1.5,4.5,20
284,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,no,Nature,Morning,0.19,1.5,4.6,0
285,Nagaland,Dzükou Valley,Dzükou Valley,Valley,no,Trekking,Afternoon,0.01,3,4.7,0
286,Puducherry,Puducherry,Promenade Beach,Beach,no,Recreational,Morning,0.09,1,4.5,0
287,Puducherry,Auroville,Auroville,Township,no,Cultural,All,0.035,2,4.1,0
288,Puducherry,Puducherry,Paradise Beach,Beach,no,Recreational,Morning,0.015,1,4.5,200
289,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,Monday,Historical,Afternoon,0.12,1.5,4.7,30
290,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,no,Nature,Morning,0.09,1,4.8,0
291,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,no,Nature,Morning,0.04,1,4.5,0
292,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,no,Nature,Morning,0.015,1.5,4.4,250
293,Daman and Diu,Diu,Naida Caves,Cave,no,Nature,Afternoon,0.6,1,4.5,0
294,Daman and Diu,Diu,Diu Fort,Fort,no,Historical,Afternoon,1.2,1.5,4.6,0
295,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,no,Religious,All,1.8,1,4.7,0
296,Jharkhand,Ranchi,Pahari Mandir,Temple,no,Religious,All,0.13,1,4.6,0
297,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,no,Religious,All,0.2,1.5,4.7,0
298,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,no,Wildlife,All,0.5,2.5,4.3,30
299,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,no,Religious,All,0.25,1,4.7,0
300,Bihar,Patna,Budhha Smriti Park,Park,no,Cultural,All,0.31,1,4.4,10
301,Haryana,Gurugram,Kingdom of Dreams,Entertainment,Monday,Entertainment,Afternoon,0.3,3,4.4,1100
302,Haryana,Gurugram,Ambience Mall,Mall,no,Shopping,Afternoon,1.2,2,4.6,0
303,Haryana,Gurugram,DLF CyberHub,Commercial Complex,no,Entertainment,Afternoon,0.71,2,4.7,0
304,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,no,Religious,All,1.05,1,4.8,0
305,Uttarakhand,Kedarnath,Kedarnath,Temple,no,Religious,All,2,1.5,4.8,0
306,Uttar Pradesh,Noida,DLF Mall of India,Mall,no,Shopping,All,1.5,2,4.6,0
307,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,no,Shopping,All,0.45,2,4.2,0
308,Karnataka,Bengaluru,Wonderla Park,Amusement Park,no,Entertainment,All,0.95,4,4.5,890
309,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,Monday,Wildlife,Afternoon,0.81,3,4.4,50
310,Karnataka,Bengaluru,Orion Mall,Mall,no,Shopping,All,1.8,2,4.5,0
311,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,no,Shopping,All,1.2,2,4.5,0
312,Delhi,New Delhi,Jama Masjid,Mosque,no,Historical,All,0.49,1,4.5,0
313,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,Sunday,Sports,All,7.4,2,4.6,1500
314,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,no,Shopping,All,0.35,2,4.6,0
315,Kerala,Kochi,LuLu International Shopping Mall,Mall,no,Shopping,All,1.9,3,4.6,0
316,Delhi,New Delhi,Rail Museum,Museum,Monday,Cultural,Morning,0.24,2,4.4,50
317,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,no,Nature,Morning,0.06,2,4.6,0
318,Gujarat,Gandhinagar,Akshardham,Temple,Monday,Religious,All,0.18,3,4.6,0
319,Uttar Pradesh,Agra,Agra Fort,Fort,no,Historical,Afternoon,1.3,2,4.5,40
320,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,Monday,Cultural,All,0.15,2,4.7,10
321,Rajasthan,Jaipur,CityPalace,Palace,no,Historical,Morning,0.51,2,4.4,200
322,Rajasthan,Jaipur,Albert Hall Museum,Museum,no,Historical,All,0.63,2,4.5,200
